v1	v2	v3	v4	v5
18.82727	23.85884	19.41717	16.87859	18.61919
19.25763	22.83972	19.16775	18.92981	18.87626
15.72651	19.75653	17.68583	15.58513	19.82263
23.62149	22.04695	21.75057	17.38976	27.14091
21.28442	17.78749	20.59687	19.48513	16.80494
21.73449	28.67053	20.21400	19.42275	18.82905
17.54757	18.32633	18.47797	21.28119	15.22291
14.76837	23.25503	19.12388	24.34985	22.44353
19.79662	20.20078	15.69305	25.82007	21.33967
16.02246	24.30097	17.03633	19.09229	19.40951
17.79412	16.95702	13.49566	15.82483	28.06573
22.14166	15.79161	12.93787	14.57223	22.81784
17.62382	23.12342	21.06298	17.69304	18.62617
24.83880	17.96937	21.49982	21.71652	25.23855
17.21819	19.63477	19.92262	20.38586	17.93485
23.11919	22.34156	25.39591	21.75009	20.63275
13.92921	20.81150	16.75942	18.15401	21.01551
30.08673	18.98720	14.10096	23.95800	19.80460
17.35889	18.99258	18.99086	17.69820	13.75431
21.53251	21.96061	24.79184	20.98739	19.45733
19.93851	22.81798	16.62768	20.68869	18.78454
19.61213	22.48958	21.95085	18.71201	23.73056
16.99329	18.74690	20.01531	23.14847	15.05755
21.28003	21.67942	16.68554	21.32780	19.48394
19.20012	22.99433	19.16255	22.99272	21.22201
15.84115	23.50944	20.78326	14.09589	20.94929
24.41548	17.20200	21.01803	17.70754	18.98554
12.57272	22.89930	19.86195	18.51908	16.52184
25.17284	19.60821	16.61214	20.15391	20.48812
17.93329	17.92215	21.47478	12.42681	19.97724
24.73456	15.58275	20.02708	19.34643	15.83164
23.55144	21.19130	20.06766	16.66314	23.50182
15.45517	21.29847	22.10447	17.41382	16.29854
17.77900	20.45335	24.40464	19.64028	21.27501
19.49340	19.81129	16.36879	18.82166	23.61746
20.55867	26.20119	18.33777	18.76038	20.43163
18.38498	18.11609	20.00660	12.76258	19.90268
21.27002	20.72203	22.15274	24.81837	16.69319
16.93748	18.70964	20.54474	22.62340	21.08660
16.07753	19.59726	20.59963	24.49313	22.11178
22.99385	22.50517	25.92673	18.90632	17.64695
24.75079	16.58780	19.98666	15.86546	19.72720
24.25818	22.74318	16.51793	20.20451	21.83198
22.45315	22.52864	19.16268	21.79550	21.60459
15.66022	22.29587	19.72899	21.25425	16.53907
20.53901	14.55447	22.50732	21.75793	23.34904
18.48157	22.18939	15.98871	16.88588	22.70403
21.70440	20.74865	18.30647	18.81748	18.30048
14.56375	18.47124	26.15943	19.05115	20.47549
18.61858	18.60731	24.21084	23.53155	14.61533
22.11923	19.41096	20.68399	23.43152	23.82669
24.02099	12.95282	23.54720	20.27567	27.22489
13.14144	21.26358	19.61844	15.88109	14.95661
19.65230	16.47821	27.53096	22.51094	21.72699
17.53331	25.93743	22.77257	17.45717	16.83047
22.82011	21.01245	22.84811	20.88504	19.97862
20.62883	18.99709	25.43457	17.92810	21.13115
21.88771	22.23963	16.13813	19.12552	22.77743
20.80119	19.47551	24.70993	17.37663	17.16309
12.24370	22.83433	19.96842	19.34173	22.32974
19.48101	15.98877	22.58445	18.07202	17.99730
24.03862	13.97637	13.42983	14.93979	20.95362
19.82193	18.05488	20.92606	23.48912	21.79781
19.73169	28.43063	25.16888	16.35872	19.17162
18.45894	24.30422	19.44127	17.48725	16.75185
23.74479	23.92747	15.99031	21.01496	18.31149
20.63647	22.07503	19.81996	17.42299	16.35064
21.66792	20.01601	19.34284	21.88714	22.37355
